filename,category,caption,generated_caption
beach1.jpg,beaches,"A sunny beach white sand, a lot of palm trees and wood structures.",a beach with palm trees and a white sand beach
beach2.jpg,beaches,A sunny golden beach with turqoise water and a modern house.,a beach with a few palm trees and a blue sky
beach3.jpg,beaches,A sunny golden beach and a lot of palm trees.,a beach with palm trees and the ocean
beach4.jpg,beaches,"A beach with white sand, blue water and near of a city.",a body of water
beach5.jpg,beaches,"A beach some rocks, a lot of people and near of a city.",a beach with a body of water and buildings
food1.jpg,food,A pork chop with salad and nachos.,a plate of food with a bowl of salsa and a bowl of salsa
food2.jpg,food,"An hamburger with cheese, lettuce and tomate.","a hamburger with cheese, let and let"
food3.jpg,food,A paella with shrimp and mussels.,pain pain de pain de pain de pain de pain de pain de pain de pain de pain
food4.jpg,food,"A pizza with black olives, meat and peppers.",a pizza with a slice missing
food5.jpg,food,A bowl with vegetables,a bowl of vegetables and a salad on a wooden table
home1.jpg,home_interior,A modern living-room made of wood with black chairs,a kitchen with a dining table and chairs
home2.jpg,home_interior,A living-room with a white sofa with wood furniture,"a living room with a couch, coffee table and television"
home3.jpg,home_interior,A classic living-room with two sofas and some plants,a living room with a fireplace and a couch
home4.jpg,home_interior,"A living-room with a black sofa, a table and a kitchen",a living room with a couch and a staircase
home5.jpg,home_interior,"A living-room with wood furniture, a sofa and a armchair",a living room with a staircase leading to a dining area
wild1.jpg,wild_animals,A lion resting.,a lion laying on the ground
wild2.jpg,wild_animals,An elephant walking through the grass.,an elephant standing in a field of grass
wild3.jpg,wild_animals,A sitting leopard.,a leopard sitting in the grass under a tree
wild4.jpg,wild_animals,A zebra eating dry grass.,a zebra grazing in a field
wild5.jpg,wild_animals,Three giraffes walking through the jungle.,three gis walking in a field with trees in the background
